Title of Conference,Acronym,Source,Rank
International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,CORE2014,A*
International Conference on Information Systems,ICIS,CORE2018,A*
ACM Conference on Digital Libraries ,JCDL,CORE2018,A*
Robotics: Science and Systems,RSS,CORE2018,A*
IEEE Information Visualization Conference,IEEE InfoVis,CORE2020,A*
International Conference on Data Engineering,ICDE,CORE2023,A*
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*
International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*
Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*
IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*
National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*
Association for Computational Linguistics,ACL,CORE2023,A*
ACM Multimedia,ACMMM,CORE2023,A*
Automated Software Engineering Conference,ASE,CORE2023,A*
Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*
Computer Aided Verification,CAV,CORE2023,A*
ACM Conference on Computer and Communications Security,CCS,CORE2023,A*
International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*
Conference on Learning Theory,COLT,CORE2023,A*
Advances in Cryptology,CRYPTO,CORE2023,A*
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*
ACM Conference on Economics and Computation,EC,CORE2023,A*
European Conference on Computer Vision,ECCV,CORE2023,A*
"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2023,A*
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*
IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*
International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*
IEEE International Conference on Computer Vision,ICCV,CORE2023,A*
IEEE International Conference on Data Mining,ICDM,CORE2023,A*
International Conference on Learning Representations,ICLR,CORE2023,A*
International Conference on Machine Learning,ICML,CORE2023,A*
International Conference on Software Engineering,ICSE,CORE2023,A*
International Joint Conference on Artificial Intelligence,IJCAI,CORE2023,A*
IEEE International Conference on Computer Communications,INFOCOM,CORE2023,A*
Information Processing in Sensor Networks,IPSN,CORE2023,A*
ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,CORE2023,A*
ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*
International Conference on the Principles of Knowledge Representation and Reasoning,KR,CORE2023,A*
IEEE Symposium on Logic in Computer Science,LICS,CORE2023,A*
ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*
Usenix Network and Distributed System Security Symposium,NDSS,CORE2023,A*
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*
Usenix Symposium on Operating Systems Design and Implementation,OSDI,CORE2023,A*
IEEE International Conference on Pervasive Computing and Communications,PERCOM,CORE2023,A*
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*
ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2023,A*
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*
Real Time Systems Symposium,RTSS,CORE2023,A*
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*
ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*
Measurement and Modeling of Computer Systems,SIGMETRICS,CORE2023,A*
ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*
ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2023,A*
IEEE Symposium on Security and Privacy,SP,CORE2023,A*
ACM Symposium on Theory of Computing,STOC,CORE2023,A*
ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*
Usenix Security Symposium,USENIX-Security,CORE2023,A*
International Conference on Very Large Databases,VLDB,CORE2023,A*
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2023,A*
International World Wide Web Conference,WWW,CORE2023,A*
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,CORE2023,A
ACM International Conference on Recommender Systems,RecSys,CORE2023,A
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,CORE2023,A
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,CORE2023,A
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,CORE2023,A
SIAM International Conference on Data Mining,SDM,CORE2023,A
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,CORE2023,A
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A
Tools and Algorithms for Construction and Analysis of Systems,TACAS,CORE2023,A
Theoretical Aspects of Rationality and Knowledge,TARK,CORE2023,A
Theory of Cryptography Conference,TCC,CORE2023,A
Conference in Uncertainty in Artificial Intelligence,UAI,CORE2023,A
Usenix Annual Technical Conference,USENIX,CORE2023,A
IEEE Workshop on Applications of Computer Vision,WACV,CORE2023,A
International Conference on Logic Programming,ICLP,CORE2023,A
IEEE International Conference on Multimedia and Expo,ICME,CORE2023,A
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,CORE2023,A
ACM International Conference on Supercomputing,ICS,CORE2023,A
International Conference on Software Architecture (was previously WICSA),ICSA,CORE2023,A
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,CORE2023,A
International Conference on Service Oriented Computing,ICSOC,CORE2023,A
"International Conference on Software Testing, Verification and Validation",ICST,CORE2023,A
IEEE Visualization,IEEE VIS,CORE2023,A
International Joint Conference on Automated Reasoning,IJCAR,CORE2023,A
Internet Measurement Conference,IMC,CORE2023,A
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2023,A
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,CORE2023,A
International Symposium on Symbolic and Algebraic Computation,ISSAC,CORE2023,A
International Symposium on Software Reliability Engineering,ISSRE,CORE2023,A
International Symposium on Software Testing and Analysis,ISSTA,CORE2023,A
International Semantic Web Conference,ISWC,CORE2023,A
Innovations in Theoretical Computer Science,ITCS,CORE2023,A
International Conference on Intelligent User Interfaces,IUI,CORE2023,A
"Logics in Artificial Intelligence, European Conference",JELIA,CORE2023,A
International Conference on Learning Analytics and Knowledge,LAK,CORE2023,A
International Symposium on Mathematical Foundations of Computer Science,MFCS,CORE2023,A
Medical Image Computing and Computer-Assisted Intervention,MICCAI,CORE2023,A
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,CORE2023,A
IEEE International Working Conference on Mining Software Repositories,MSR,CORE2023,A
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2023,A
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2023,A
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,CORE2023,A
Parallel Problem Solving from Nature,PPSN,CORE2023,A
International Conference in Business Process Management,BPM,CORE2023,A
International Conference on Automated Deduction,CADE,CORE2023,A
International Conference on Advanced Information Systems Engineering,CaiSE,CORE2023,A
International Symposium on Code Generation and Optimization,CGO,CORE2023,A
Workshop on Cryptographic Hardware and Embedded Systems,CHES,CORE2023,A
Conference on Innovative Data Systems Research,CIDR,CORE2023,A
ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A
International Conference on Principles and Practice of Constraint Programming,CP,CORE2023,A
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A
IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2023,A
Designing Interactive Systems,DIS,CORE2023,A
International Symposium on Distributed Computing (was WDAG),DISC,CORE2023,A
International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2023,A
European Conference on Artificial Intelligence,ECAI,CORE2023,A
European Conference on Object-Oriented Programming,ECOOP,CORE2023,A
European Conference on Software Architecture,ECSA,CORE2023,A
Extending Database Technology,EDBT,CORE2023,A
International Conference on Conceptual Modelling,ER,CORE2023,A
International Symposium on Empirical Software Engineering and Measurement,ESEM,CORE2023,A
European Symposium on Programming,ESOP,CORE2023,A
European Symposium On Research In Computer Security,ESORICS,CORE2023,A
Eurosys Conference,EuroSys,CORE2023,A
Conference on File and Storage Technologies,FAST,CORE2023,A
Financial Cryptography and Data Security Conference,FC,CORE2023,A
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,CORE2023,A
Foundations of Genetic Algorithms,FOGA,CORE2023,A
Foundations of Software Science and Computational Structures,FOSSACS,CORE2023,A
Graph Drawing,GD,CORE2023,A
Genetic and Evolutionary Computations,GECCO,CORE2023,A
USENIX Workshop on Hot Topics in Operating Systems,HotOS,CORE2023,A
ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A
International Colloquium on Automata Languages and Programming,ICALP,CORE2023,A
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,CORE2023,A
IEEE International Conference on Document Analysis and Recognition,ICDAR,CORE2023,A
International Conference on Distributed Computing Systems,ICDCS,CORE2023,A
International Conference on Database Theory,ICDT,CORE2023,A
International Conference on Functional Programming,ICFP,CORE2023,A
ACM Creativity and Cognition,CC,ERA2010,A
ACM SIGCOMM Internet Measurement Conference,ACM IMC,ERA2010,A
American Association of Cost Engineers Annual Meeting,AACE,ERA2010,A
"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,ERA2010,A
American Society of Mechanical Engineering,,ERA2010,A
Annual Conference of the Australian Acoustical Society,,ERA2010,A
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,ERA2010,A
"Annual Water Distribution Systems Analysis Conference, WDSA 2008",,ERA2010,A
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,,ERA2010,A
Asian Congress of Fluid Mechanics,,ERA2010,A
Asian-Pacific Conference on Computational Mechanics,APCOM,ERA2010,A
Asian-Pacific conferences on unsaturated soils,Unsat-Asian,ERA2010,A
Asia-Pacific Conference on Engineering Plasticity and Its Applications,,ERA2010,A
Asia-Pacific Conference on Materials Processing,,ERA2010,A
Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,ERA2010,A
Association of Researchers in Construction Management Annual Conference,ARCOM,ERA2010,A
AUSIMM Orebody Modelling and Strategic Mine Planning Conference,,ERA2010,A
AUSIMM Project Evaluation,,ERA2010,A
Australasian Coasts and Ports Conference,,ERA2010,A
Australasian Congress on Applied Mechanics,,ERA2010,A
Australasian Fluid Mechanics Conference,,ERA2010,A
Australasian Housing Researchers Conference,AHRC,ERA2010,A
Australasian Port and Harbour Conference,,ERA2010,A
Australasian Transport Research Forum,ATRF,ERA2010,A
Bluff Body Aerodynamics and Applications,,ERA2010,A
CAADFutures Biennial conference,CAADFutures,ERA2010,A
Centre for Asian and Middle Eastern Architecture conference,CAMEA,ERA2010,A
CIRP Life Cycle Engineering Conference,,ERA2010,A
"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",,ERA2010,A
Computer Applications in The Mineral Industries,APCOM,ERA2010,A
Computers in Cardiology,,ERA2010,A
Conference and Symposium of the International Committee on Aeronautical Fatigue,,ERA2010,A
Conference on Railway Engineering,,ERA2010,A
Congress of the Modelling and Simulation Society of Australia and New Zealand,Modsim 03,ERA2010,A
Construction Management and Economics Conference,CME 25,ERA2010,A
Contact Mechanics,,ERA2010,A
Corrosion and Prevention,,ERA2010,A
Design and Emotion Society Conferences,D&E,ERA2010,A
Design Computing and Cognition,DCC,ERA2010,A
European Conference on Computational Mechanics,ECCM,ERA2010,A
European Conference on Numerical Methods in Geotechnical Engineering,NUMGE,ERA2010,A
European Turbulence Conference,,ERA2010,A
"Experiential Knowledge SIG conferences (Design Research Society (DRS) SIG,UK)",,ERA2010,A
FIE Frontiers in Education,,ERA2010,A
Geo congress of the Geo-Institute of ASCE,,ERA2010,A
GeoShanghai International Conferences,GeoShanghai,ERA2010,A
Healthy Buildings,HB,ERA2010,A
Hong Kong Institute of Value Management Conference,HKIVM,ERA2010,A
IASTED International Conference on Biomedical Engineering,,ERA2010,A
IASTED Telehealth and Assistive Technology,,ERA2010,A
IEEE Conference in Industrial Electronics and Applications,,ERA2010,A
"IEEE Conference on Robotics, Automation and Mechatronics",,ERA2010,A
IEEE EMBS Neural Engineering Conference,,ERA2010,A
IEEE International Conference on Robots and Automation,,ERA2010,A
IEEE International Symposium on Biomedical Imaging,,ERA2010,A
IEEE Symposium on VLSI Circuits,VLSIC,ERA2010,A
IEEE World Congress on Computational Intelligence,WCCI,ERA2010,A
Indoor Air,IA,ERA2010,A
"International Conference for Bulk Materials Storage, Handling and Transportation",,ERA2010,A
International Conference of the International Association for Computer Methods and Advances in Geomechanics,IACMAG,ERA2010,A
International Conference on Advances and Trends in Engineering Materials and Their Applications,,ERA2010,A
International Conference on Advances in Materials and Processing Technologies,,ERA2010,A
International Conference On Agile Manufacturing,,ERA2010,A
"International Conference on Civil, Structural and Environmental Engineering Computing",CIVIL-COMP,ERA2010,A
International Conference on Coastal Engineering,,ERA2010,A
International Conference on Composite Materials,,ERA2010,A
International Conference on Computational Plasticity,COMPLAS,ERA2010,A
International Conference on Computers in Urban Planning and Urban Management,CUPUM,ERA2010,A
International Conference on Design Theory and Methodology (ASME),DTM,ERA2010,A
International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,,ERA2010,A
International Conference on Environmental Systems,ICES,ERA2010,A
International conference on ER fluids and MR suspensions,,ERA2010,A
International Conference on Fast Sea Transportation,,ERA2010,A
International Conference on High Performance Yacht Design,,ERA2010,A
"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings",IAQVEC,ERA2010,A
International Conference on Leading Edge Manufacturing in 21st Century,,ERA2010,A
International Conference on Liquid Atomization and Spray Systems,,ERA2010,A
International Conference on Metal Forming,,ERA2010,A
International Conference on Modal Analysis,,ERA2010,A
International Conference on Modelling and Diagnostics For Advanced Engine Systems,,ERA2010,A
International Conference on Modelling and Simulation,,ERA2010,A
International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,CORE2018,A
European Graphics Conference,EUROGRAPH,CORE2018,A
International Conference on Foundation on Data Organization,FODO,CORE2018,A
International Conference on Field and Service Robotics,FSR,CORE2018,A
IEEE/ACM International Conference on Grid Computing,GRID,CORE2018,A
Hawaii International Conference on System Sciences,HICSS,CORE2018,A
ACM Conference on Hypertext and Social Media,Hypertext,CORE2018,A
International Conference of Asian Digital Libraries,ICADL,CORE2018,A
IEEE International Conference on Computer Languages,ICCL,CORE2018,A
International Computer Symposium Conference,ICSC2,CORE2018,A
International Conference on Security in Pervasive Computing,ICSPC,CORE2018,A
International Conference on Temporal Logic,ICTL,CORE2018,A
IEEE International Conference on Multimedia Computing and Systems,ICMCS,CORE2018,A
IEEE Transactions on Knowledge and Data Engineering,IEEETKDE,CORE2018,A
International Logic Programming Symposium,ILPS,CORE2018,A
International Conference on Information Systems Development,ISD,CORE2018,A
International Symposium on Robotics,ISR,CORE2018,A
IEEE International Solid-State Circuits Conference,ISSCC,CORE2018,A
Symposium on Frontiers of Massively Parallel Processing,MassPar,CORE2018,A
"Net Object Days (Includings MATES, ENASE etc.)",MATES ENASE,CORE2018,A
International Conference on AI in Design,AID,CORE2018,A
Artificial Intelligence in Medicine,AIIM,CORE2018,A
Americas Conference on Information Systems,AMCIS,CORE2018,A
Aspect-Oriented Software Development,AOSD,CORE2018,A
Application of Computers and Operations Research in the Minerals Industries,APCOMin,CORE2018,A
"International Conference on Application-specific Systems, Architectures and Processors",ASAP,CORE2018,A
IEEE Conference on Decision and Control,CDC,CORE2018,A
IEEE Computational Systems Bioinformatics Conference,CSB,CORE2018,A
Design Automation Conf,DAC,CORE2018,A
International Conference on Design Science Research in Information Systems and Technology,DESRIST,CORE2018,A
Deductive and Object-Oriented Databases,DOOD,CORE2018,A
Engineering Applications of Artifical Intelligence ,EAAI,CORE2018,A
European Conference on Information Systems,ECIS,CORE2018,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,CORE2023,A
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,CORE2023,A
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,CORE2023,A
IEEE International Conference on Web Services,ICWS,CORE2023,A
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,CORE2023,A
International Conference on Concurrency Theory,CONCUR,CORE2023,A
ACM Virtual Reality Software and Technology,VRST,CORE2023,A
International Symposium on Theoretical Aspects of Computer Science,STACS,CORE2023,A
North American Association for Computational Linguistics,NAACL,CORE2023,A
British Machine Vision Conference,BMVC,CORE2023,A
International Symposium on Computational Geometry,SoCG,CORE2023,A
International Symposium on Algorithms and Computation,ISAAC,CORE2023,A
IEEE International Requirements Engineering Conference,RE,CORE2023,A
ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A
International Conference on Web and Social Media,ICWSM,CORE2023,A
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,CORE2023,A
International Conference on Theory and Applications of Satisfiability Testing,SAT,CORE2023,A
European Association for Computational Linguistics,EACL,CORE2023,A
Conference on Integer Programming and Combinatorial Optimization,IPCO,CORE2023,A
International Computing Education Research Workshop,ICER,CORE2023,A
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2023,A
ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2023,A
IEEE Conference on Computational Complexity,CCC,CORE2023,A
International Conference on Artificial Intelligence in Education,AIED,CORE2023,A
European Conference on Information Retrieval,ECIR,CORE2023,A
Annual Computer Security Applications Conference,ACSAC,CORE2023,A
European Symposium on Algorithms,ESA,CORE2023,A
ACM International Conference on Web Search and Data Mining,WSDM,CORE2023,A
International Conference on Artificial Intelligence and Statistics,AISTATS,CORE2023,A
Workshop on Algorithm Engineering and Experiments,ALENEX,CORE2023,A
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,CORE2023,A
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2023,A
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2023,A
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,CORE2023,A
International Conference on New Forming Technology,,ERA2010,A
International Conference on Numerical Methods in Industrial Forming Processes,,ERA2010,A
"International Conference on Ocean, Offshore and Arctic Engineering",,ERA2010,A
International Conference on Pressure Surges,,ERA2010,A
International Conference on Soil Mechanics and Geotechnical Engineering,ICSMGE,ERA2010,A
International Conference on Steel Rolling,,ERA2010,A
International Conference on Structural Health Monitoring of Intelligent Infrastructure,,ERA2010,A
International Conference on Surface Finishing Technology and Surface Engineering,ICSFT2008,ERA2010,A
International Conference on Sustainability in Energy and Buildings,SEB,ERA2010,A
International Conference on Technology of Plasticity,,ERA2010,A
International conference on unsaturated soils,Unsat,ERA2010,A
International Conference on Urban Drainage,,ERA2010,A
International Conference on Wind Engineering,,ERA2010,A
International Conferences on Advances in Steel Structures,,ERA2010,A
International Conferences on Progress of Machining Technology,,ERA2010,A
International Congress of Theoretical and Applied Mechanics,,ERA2010,A
International Congress on Fracture,,ERA2010,A
International Corrosion Congress,,ERA2010,A
"International Council for Research and Innovation in Building and Construction (CIB) Meetings, Workshops, Symposia, Conferences",CIB,ERA2010,A
International Fatigue Congress,,ERA2010,A
International Ferroalloy Congress,,ERA2010,A
International Geostatistics Congress,,ERA2010,A
International Group for Lean Construction Conference,IGLC,ERA2010,A
International Heavy Haul Association Conference,,ERA2010,A
International Heavy Haul Conference,,ERA2010,A
International Mineral Processing Congress,,ERA2010,A
International Pipeline Conference,,ERA2010,A
International Research Council on the Biomechanics of Impact,,ERA2010,A
International Society of Rock Mechanics Series of Symposia and Conferences,ISRM,ERA2010,A
International Symposium of Automation and Robotics in Construction,,ERA2010,A
International Symposium on Active Control of Sound and Vibration,,ERA2010,A
International Symposium on Advanced Technology for Plasticity,,ERA2010,A
International Symposium on Advances in Abrasive Technology,,ERA2010,A
International Symposium on Combustion,,ERA2010,A
International Symposium on Computational Geomechanics,,ERA2010,A
International Symposium on Plasticity and Its Current Applications,,ERA2010,A
International Symposium on Vehicle System Dynamics,,ERA2010,A
International Towing Tank Conference,,ERA2010,A
International Tribology Conference in Australia,,ERA2010,A
International Workshop on Precipitation in Urban Areas,,ERA2010,A
IUTAM Symposia series,,ERA2010,A
IWA World Water Congress,,ERA2010,A
JSME/ASME International Conference on Materials and Processing,,ERA2010,A
"Mini-EURO Conference, Managing Uncertainty in Decision Support Models",,ERA2010,A
Modelling and Simulation,,ERA2010,A
NACE International - Corrosion,,ERA2010,A
Network for Comfort and Energy Use in Buildings Windsor Conference,Windsor,ERA2010,A
Numerical Models in Geomechanics,NUMOG,ERA2010,A
Pacific Rim Real Estate Conference,PPRES,ERA2010,A
Passive and Low Energy Architecture (PLEA) Annual International Conference,PLEA,ERA2010,A
Portland International Center for Management of Engineering and Technology Conference,PICMET,ERA2010,A
Powders and Grains,,ERA2010,A
Proceedings MIT Conferences on Computational Solid and Fluid Mechanics,,ERA2010,A
Research in Engineering Education Symposium,REES,ERA2010,A
RICS conference,COBRA,ERA2010,A
Sixth International Conference on Hydroinformatics 2004,,ERA2010,A
"Society of Architectural Historians, Australia and New Zealand (SAHANZ) Annual Conference",SAHANZ,ERA2010,A
SPIE Smart Structures and Materials and Non-destructive Evaluation and Health Monitoring,,ERA2010,A
Stapp Car Crash Conference,,ERA2010,A
State of Australian Cities (SOAC) Conference,SOAC,ERA2010,A
Symposium on ‘Building Simulation in the Southwest of England’,IBPSA,ERA2010,A
Symposium on High Performance Chips,HOT CHIPS,ERA2010,A
The World Conference on Titanium,,ERA2010,A
Transportation Research Board (USA) Annual Meeting,TRB,ERA2010,A
Turbulence and Shear Flow Phenomena,,ERA2010,A
Water Down Under 2008 (incorporating the 31st Hydrology and Water Resources Symposium and the 4th International Conference on Water Resources and Environment Research),,ERA2010,A
World Conference on Transport Research,WCTR,ERA2010,A
World Congress on Computational Mechanics,WCCM,ERA2010,A
Annual conference of American Society for Information Science and Technology,ASIS&T,CORE2008,A
IEEE Computer Security Foundations Workshop,CSFW,CORE2008,A
International Conference on Multi Agent Systems,ICMAS,CORE2008,A
Israel Symposium on Theory of Computing and Systems,ISTCS,CORE2008,A
Text Retrieval Conference,TREC,CORE2008,A
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A
European Conference on Machine Learning (Joined with PKDD from 2008),ECML,CORE2014,A
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,CORE2018,A
American Federation of Information Processing Societies,AFIPS,CORE2018,A
International Symposium on Microarchitecture,MICRO,CORE2018,A
ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2018,A
Network Storage Symposium,NetStore,CORE2018,A
AoM Organizational Communication and Information Systems,OCIS,CORE2018,A
IEEE Conference on Open Architecture and Network Programming,OPENARCH,CORE2018,A
Pacific Asia Conference on Information Systems,PACIS,CORE2018,A
Performance Tools - International Conference on Model Techniques & Tools for CPE,PT,CORE2018,A
International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),RTA,CORE2018,A
Unix Symposium on Operating Systems Design and Implementation ,SDSDI,CORE2018,A
IEEE International Symposium on Software Metrics ,SMS,CORE2018,A
ACM Symposium on Software Reusability ,SSR,CORE2018,A
Symposia on VLSI Technology and Circuits,VLSI,CORE2018,A
Unix Symposium on Internet Technologies,USITS,CORE2020,A
International Workshop on Randomization and Computation,RANDOM,CORE2021,A
Open and Distance Learning Association of Australia Bienniel Forum,ODLA,CORE2018,Australasian
Australian Women in IT Conference,OzWIT,CORE2018,Australasian
Australian Workshop on Safety Critical Systems and Software,SCSS,CORE2018,Australasian
University of Western Australia Computer Science Research Conference,UWACS,CORE2018,Australasian
Australian Information Warfare and Security Conference,WarSec,CORE2018,Australasian
Western Australian Workshop on Information Systems Research,WAWISR,CORE2018,Australasian
Australasian Women in Computing Workshop,WIC,CORE2018,Australasian
Australasian Workshop on Health Data and Knowledge Management,HDKM,CORE2018,Australasian
Integrated Data Environments Australia Workshop,IDEAW,CORE2018,Australasian
Australasian Conference on Pattern Languages of Programs,KoalaPLoP,CORE2018,Australasian
Australian MADYMO Users Meeting,MADYMO,CORE2018,Australasian
Australian MATLAB Conference,MATLAB,CORE2018,Australasian
"Australian Workshop on Mobile Computing, Databases and Applications",MCDA,CORE2018,Australasian
Australian Conference on Mathematics and Computers in Sport,MCSpo,CORE2018,Australasian
Australian Pattern Recognition Society Conference,DICTA,CORE2017,Australasian
International NZ Conference on Computer-Human Interaction ,SIGCHI-NZ,CORE2017,Australasian
Australian Digital Forensics Conference,,CORE2018,Australasian
Australian Information Security Management Conference,ISM,CORE2018,Australasian
Australasian Computer Architecture Conference,ACAC,CORE2018,Australasian
Australasian Computers in Education Conference,ACEC,CORE2018,Australasian
Australasian Conference on Information Systems,ACIS,CORE2018,Australasian
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,CORE2018,Australasian
Australasian Computer Music Conference,ACMA,CORE2018,Australasian
Australian Conference on Neural Networks,ACNN,CORE2018,Australasian
Australian Conference on Software Metrics,ACOSM,CORE2018,Australasian
Australian Supercomputing Conference,ACS,CORE2018,Australasian
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,CORE2018,Australasian
Australasian Computer Science Conference,ACSC,CORE2018,Australasian
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2018,Australasian
Australian Game Developers Conference,AGDC,CORE2018,Australasian
Australian Institute of Computer Ethics Conference,AICEC,CORE2018,Australasian
Australasia Conference on Information Security and Privacy,AISP,CORE2018,Australasian
"Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation",AISW,CORE2018,Australasian
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,CORE2018,Australasian
Australian Knowledge Acquisition Workshop,AKAW,CORE2018,Australasian
Australian and New Zealand Academy of Management Conference,ANZAM,CORE2018,Australasian
Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,CORE2018,Australasian
Australian and New Zealand Marketing Academy Conference,ANZMAC,CORE2018,Australasian
The Modelling and Simulation Society of Australia and New Zealand Meeting,ANZMODS,CORE2018,Australasian
Australasian Conference on Parallel and Real-Time Systems,APRTS,CORE2018,Australasian
National Conference of the Australian Robot Association,ARA,CORE2018,Australasian
Australasian Remote Sensing Conference,ARSC,CORE2018,Australasian
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,CORE2018,Australasian
Australian Symposium on Information Visualisation,ASIV,CORE2018,Australasian
Australasian Cognitive Science Society Conference,AuCSS,CORE2018,Australasian
Australasian User Interface Conference,AUIC,CORE2018,Australasian
Australasian Urban and Regional Information Systems Association Conference,AURISA,CORE2018,Australasian
Australasian Refinement Workshop,AuRW,CORE2018,Australasian
Australian Joint Conference on Artificial Intelligence,AusAI,CORE2018,Australasian
Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,CORE2018,Australasian
